name,archetype,year,liquidity_ratio,debt_to_equity,interest_coverage,loan_to_deposit,uninsured_deposit_ratio,npa_ratio,core_deposit_ratio,reserve_ratio,ROA,ROE,distressed,is_synthetic,failed,batch,bank_name
Synthetic_Bank_5,E,2022,0.4,10.5,0.8,0.95,0.5,0.004,0.8,0.02,1.0,9.0,True,True,True,5,Synthetic_Bank_5
Synthetic_Bank_6,A/C,2022,0.15,28.0,3.0,1.05,0.65,0.006,0.75,0.03,1.2,11.0,True,True,True,5,Synthetic_Bank_6
Synthetic_Bank_7,B/D,2022,0.5,9.0,4.5,0.85,0.98,0.008,0.7,0.02,1.5,14.0,True,True,True,5,Synthetic_Bank_7
Synthetic_Bank_8,C/E,2022,0.6,22.0,0.9,0.9,0.55,0.009,0.8,0.025,1.0,7.0,True,True,True,5,Synthetic_Bank_8
Synthetic_Bank_9,A/E,2022,0.2,12.0,0.7,1.1,0.7,0.005,0.85,0.02,1.2,10.0,True,True,True,5,Synthetic_Bank_9
Synthetic_Bank_10,B/C,2022,0.45,26.0,4.2,0.8,0.95,0.003,0.75,0.015,1.5,13.0,True,True,True,5,Synthetic_Bank_10
Synthetic_Stable_1,stable,2022,0.92,12.5,6.5,0.83,0.45,0.005,0.85,0.02,1.7,14.0,False,True,False,1,Synthetic_Stable_1
Synthetic_Stable_2,stable,2022,0.98,8.2,4.8,0.73,0.38,0.001,0.76,0.025,1.2,9.5,False,True,False,1,Synthetic_Stable_2
Synthetic_Stable_3,stable,2022,0.88,10.9,5.9,0.81,0.49,0.007,0.81,0.015,1.5,12.8,False,True,False,1,Synthetic_Stable_3
Synthetic_Stable_4,stable,2022,0.95,7.5,3.5,0.69,0.32,0.003,0.74,0.01,1.1,8.2,False,True,False,1,Synthetic_Stable_4
Synthetic_Stable_5,stable,2022,0.92,11.3,6.2,0.79,0.42,0.009,0.83,0.02,1.6,13.9,False,True,False,1,Synthetic_Stable_5
Synthetic_Stable_6,stable,2022,0.96,9.1,5.1,0.75,0.35,0.004,0.78,0.025,1.3,10.5,False,True,False,1,Synthetic_Stable_6
Synthetic_Stable_7,stable,2022,0.9,8.5,4.5,0.71,0.29,0.002,0.72,0.015,1.0,7.8,False,True,False,1,Synthetic_Stable_7
Synthetic_Stable_8,stable,2022,0.94,10.2,5.8,0.77,0.41,0.006,0.82,0.01,1.4,11.4,False,True,False,1,Synthetic_Stable_8
Synthetic_Stable_9,stable,2022,0.99,6.8,3.8,0.65,0.24,0.001,0.69,0.03,1.5,9.1,False,True,False,1,Synthetic_Stable_9
Synthetic_Stable_10,stable,2022,0.93,9.5,5.5,0.73,0.36,0.008,0.79,0.02,1.8,15.6,False,True,False,1,Synthetic_Stable_10
Synthetic_Stable_1,stable,2022,0.9421,12.1873,5.6178,0.8371,0.2518,0.0019,0.8595,0.0205,1.6432,14.1298,False,True,False,2,Synthetic_Stable_1
Synthetic_Stable_2,stable,2022,0.6219,6.9821,3.2194,0.6943,0.4321,0.0013,0.7852,0.0231,1.1219,10.4987,False,True,False,2,Synthetic_Stable_2
Synthetic_Stable_3,stable,2022,0.8532,9.4519,4.8231,0.8219,0.1935,0.0016,0.8937,0.0183,1.8192,13.2191,False,True,False,2,Synthetic_Stable_3
Synthetic_Stable_4,stable,2022,0.9821,7.9821,6.9821,0.7281,0.4219,0.0011,0.8219,0.0229,1.3219,11.2191,False,True,False,2,Synthetic_Stable_4
Synthetic_Stable_5,stable,2022,0.6198,5.9821,2.9821,0.6982,0.3982,0.0018,0.7821,0.0219,1.2191,9.9821,False,True,False,2,Synthetic_Stable_5
Synthetic_Stable_6,stable,2022,0.9828,8.9821,7.9821,0.7321,0.4321,0.0012,0.8321,0.0238,1.4821,12.9821,False,True,False,2,Synthetic_Stable_6
Synthetic_Stable_7,stable,2022,0.8198,6.9821,3.9821,0.6982,0.3982,0.0015,0.7821,0.0198,1.2191,10.9821,False,True,False,2,Synthetic_Stable_7
Synthetic_Stable_8,stable,2022,0.9821,9.9821,8.9821,0.7321,0.4321,0.0013,0.8321,0.0229,1.4821,13.9821,False,True,False,2,Synthetic_Stable_8
Synthetic_Stable_9,stable,2022,0.8198,7.9821,5.9821,0.6982,0.3982,0.0016,0.7821,0.0198,1.2191,12.9821,False,True,False,2,Synthetic_Stable_9
Synthetic_Stable_10,stable,2022,0.9821,8.9821,7.9821,0.7321,0.4321,0.0012,0.8321,0.0238,1.4821,14.9821,False,True,False,2,Synthetic_Stable_10
Synthetic_Stable_1,stable,2022,0.92,12.15,6.28,0.83,0.38,0.005,0.85,0.023,1.72,14.51,False,True,False,3,Synthetic_Stable_1
Synthetic_Stable_2,stable,2022,0.98,8.42,5.11,0.79,0.26,0.002,0.67,0.019,1.29,10.23,False,True,False,3,Synthetic_Stable_2
Synthetic_Stable_3,stable,2022,0.88,9.58,7.45,0.81,0.42,0.007,0.81,0.026,1.51,12.89,False,True,False,3,Synthetic_Stable_3
Synthetic_Stable_4,stable,2022,0.93,11.29,4.58,0.75,0.31,0.003,0.73,0.021,1.63,13.49,False,True,False,3,Synthetic_Stable_4
Synthetic_Stable_5,stable,2022,0.95,10.19,6.85,0.84,0.45,0.008,0.88,0.024,1.81,15.19,False,True,False,3,Synthetic_Stable_5
Synthetic_Stable_6,stable,2022,0.99,7.91,3.92,0.77,0.25,0.004,0.65,0.018,1.25,9.51,False,True,False,3,Synthetic_Stable_6
Synthetic_Stable_7,stable,2022,0.91,6.42,4.19,0.72,0.22,0.006,0.59,0.022,1.43,11.29,False,True,False,3,Synthetic_Stable_7
Synthetic_Stable_8,stable,2022,0.96,9.15,7.01,0.86,0.39,0.009,0.82,0.025,1.69,14.89,False,True,False,3,Synthetic_Stable_8
Synthetic_Stable_9,stable,2022,0.94,8.51,5.67,0.78,0.28,0.001,0.71,0.02,1.57,12.51,False,True,False,3,Synthetic_Stable_9
Synthetic_Stable_10,stable,2022,0.97,5.92,6.42,0.82,0.41,0.011,0.89,0.027,1.93,16.29,False,True,False,3,Synthetic_Stable_10
